1,1,0.897,0.7811
2,1,0.897,0.8412
3,1,0.897,0.8454
4,1,0.897,0.8063
5,1,0.897,0.8533
6,1,0.897,0.6855
7,1,0.897,0.8639
8,1,0.897,0.8654
9,1,0.897,0.7115
10,1,0.897,0.7407
11,1,0.897,0.8356
12,1,0.897,0.6316
13,1,0.897,0.8777
14,1,0.897,0.8763
15,1,0.897,0.7805
16,1,0.897,0.7691
17,1,0.897,0.8819
18,1,0.897,0.833
19,1,0.897,0.8806
20,1,0.897,0.8722
21,1,0.897,0.8782
22,1,0.897,0.6415
23,1,0.897,0.8764
24,1,0.897,0.5067
25,1,0.897,0.8834
26,1,0.897,0.8765
27,1,0.897,0.8871
28,1,0.897,0.8804
29,1,0.897,0.8688
30,1,0.897,0.8564
31,1,0.897,0.8876
32,1,0.897,0.8859
33,1,0.897,0.8884
34,1,0.897,0.7161
35,1,0.897,0.886
36,1,0.897,0.7491
37,1,0.897,0.8888
38,1,0.897,0.4511
39,1,0.897,0.8838
40,1,0.897,0.8539
